FIPS,COUNTY,RPL_THEMES,pres_r,n
48303,Lubbock,0.7497,70.1,3.0
48305,Lynn,0.8908,0.0,0.0
48307,McCulloch,0.7395,38.3,0.0
48309,McLennan,0.8436,63.2,2.0
48311,McMullen,0.7631,47.2,0.0
48313,Madison,0.8376,63.0,0.0
48315,Marion,0.6885,0.0,0.0
48317,Martin,0.4239,33.8,0.0
48319,Mason,0.357,41.7,0.0
48321,Matagorda,0.9067,60.6,0.0
48323,Maverick,0.9742,25.1,1.0
48325,Medina,0.6697,36.4,0.0
48327,Menard,0.5854,47.2,0.0
48329,Midland,0.4748,47.1,2.0
48331,Milam,0.7627,54.8,0.0
48333,Mills,0.7688,47.2,0.0
48335,Mitchell,0.6213,46.3,0.0
48337,Montague,0.5841,68.5,0.0
48339,Montgomery,0.3914,50.6,1.0
48341,Moore,0.699,51.8,0.0
48343,Morris,0.7299,73.9,0.0
48345,Motley,0.7003,47.2,0.0
48347,Nacogdoches,0.9822,73.2,0.0
48349,Navarro,0.9662,61.2,0.0
48351,Newton,0.7207,20.5,0.0
48353,Nolan,0.8866,65.7,0.0
48355,Nueces,0.8363,64.0,3.0
48357,Ochiltree,0.5787,48.9,0.0
48359,Oldham,0.4322,47.2,0.0
48361,Orange,0.5812,88.6,0.0
48363,Palo Pinto,0.8799,86.8,0.0
48365,Panola,0.6952,72.1,0.0
48367,Parker,0.2561,57.9,1.0
48369,Parmer,0.7576,0.0,0.0
48371,Pecos,0.8213,33.5,0.0
48373,Polk,0.9121,84.3,0.0
48375,Potter,0.9248,65.1,2.0
48377,Presidio,0.9981,6.3,0.0
48379,Rains,0.4016,54.3,0.0
48381,Randall,0.2204,62.7,0.0
48383,Reagan,0.4806,21.0,0.0
48385,Real,0.7169,47.2,0.0
48387,Red River,0.565,55.1,0.0
48389,Reeves,0.7803,54.6,0.0
48391,Refugio,0.9414,0.0,0.0
48393,Roberts,0.0911,47.2,0.0
48395,Robertson,0.7529,21.7,0.0
48397,Rockwall,0.1124,63.3,0.0
48399,Runnels,0.5449,58.5,0.0
48401,Rusk,0.7965,43.2,0.0
48403,Sabine,0.5309,33.9,0.0
48405,San Augustine,0.8889,65.8,0.0
48407,San Jacinto,0.6869,20.0,0.0
48409,San Patricio,0.8309,71.5,0.0
48411,San Saba,0.7315,0.6,0.0
48413,Schleicher,0.5857,47.2,0.0
48415,Scurry,0.6994,73.0,0.0
48417,Shackelford,0.685,47.2,0.0
48419,Shelby,0.9522,58.4,1.0
48421,Sherman,0.4611,47.2,0.0
48423,Smith,0.7462,73.2,1.0
48425,Somervell,0.5605,0.0,0.0
48427,Starr,0.9815,29.3,0.0
48429,Stephens,0.885,83.1,0.0
48431,Sterling,0.4127,47.2,0.0
48433,Stonewall,0.3236,47.2,0.0
48435,Sutton,0.6041,0.1,0.0
48437,Swisher,0.9701,47.2,0.0
48439,Tarrant,0.5475,53.7,13.0
48441,Taylor,0.6933,89.0,1.0
48443,Terrell,0.4713,47.2,0.0
48445,Terry,0.9876,69.0,0.0
48447,Throckmorton,0.2678,47.2,0.0
48449,Titus,0.8901,69.7,0.0
48451,Tom Green,0.6643,66.3,1.0
48453,Travis,0.3812,39.5,7.0
48455,Trinity,0.8016,43.4,0.0
48457,Tyler,0.8834,48.6,0.0
48459,Upshur,0.5898,17.0,0.0
48461,Upton,0.6519,0.1,0.0
48463,Uvalde,0.9548,63.1,0.0
48465,Val Verde,0.9678,32.5,0.0
48467,Van Zandt,0.5589,64.3,0.0
48469,Victoria,0.7834,84.5,1.0
48471,Walker,0.6997,55.0,0.0
48473,Waller,0.8331,9.8,0.0
48475,Ward,0.6494,46.3,0.0
48477,Washington,0.7312,65.1,0.0
48479,Webb,0.9497,21.3,1.0
48481,Wharton,0.8758,57.1,0.0
48483,Wheeler,0.6962,20.0,0.0
48485,Wichita,0.8166,89.6,1.0
48487,Wilbarger,0.9083,122.0,0.0
48489,Willacy,0.9892,31.8,0.0
48491,Williamson,0.2016,50.5,2.0
48493,Wilson,0.4436,50.7,0.0
48495,Winkler,0.6541,44.1,0.0
48497,Wise,0.5768,57.1,0.0
48499,Wood,0.6322,81.1,0.0
48501,Yoakum,0.492,0.1,0.0
48503,Young,0.5532,88.9,0.0
48505,Zapata,0.9895,17.7,0.0
48507,Zavala,0.9987,0.0,0.0
