FIPS,COUNTY,RPL_THEMES,pres_r,n
9001,Fairfield,0.4497,33.8,20
9003,Hartford,0.515,43.3,25
9005,Litchfield,0.0818,47.0,5
9007,Middlesex,0.1182,49.6,3
9009,New Haven,0.5223,48.6,32
9011,New London,0.3561,48.5,9
9013,Tolland,0.0694,37.8,3
9015,Windham,0.4232,54.4,8
