0.000000000000000000e+00,2.643020000000000000e+05,2.523100000000000000e+04,9.782500000000000000e+04,4.108000000000000000e+03,3.520000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.477000000000000000e+03,8.630000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.664000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.607000000000000000e+03,2.564000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.118000000000000000e+03,3.568000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.542000000000000000e+03,4.714000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.567000000000000000e+03,5.763000000000000000e+03
0.000000000000000000e+00,1.194741000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.093500000000000000e+04,6.942000000000000000e+03
0.000000000000000000e+00,1.167907000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.198900000000000000e+04,8.336000000000000000e+03
0.000000000000000000e+00,1.171802000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.206500000000000000e+04,9.744000000000000000e+03
0.000000000000000000e+00,1.046428000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.280400000000000000e+04,1.128900000000000000e+04
0.000000000000000000e+00,1.057207000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.325700000000000000e+04,1.292600000000000000e+04
0.000000000000000000e+00,1.081607000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.495900000000000000e+04,1.447000000000000000e+04
0.000000000000000000e+00,9.908830000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,1.606500000000000000e+04,1.576800000000000000e+04
0.000000000000000000e+00,1.250820000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.647100000000000000e+04,1.700800000000000000e+04
0.000000000000000000e+00,1.274549000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.839300000000000000e+04
0.000000000000000000e+00,1.094810000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,2.097800000000000000e+04,2.018900000000000000e+04
0.000000000000000000e+00,1.176736000000000000e+06,4.100000000000000000e+04,1.467370000000000000e+05,1.612900000000000000e+04,2.292400000000000000e+04
0.000000000000000000e+00,1.245559000000000000e+06,5.100000000000000000e+04,1.680850000000000000e+05,2.344100000000000000e+04,2.610700000000000000e+04
0.000000000000000000e+00,1.265112000000000000e+06,5.200000000000000000e+04,2.313050000000000000e+05,0.000000000000000000e+00,2.923300000000000000e+04
0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+04,2.026040000000000000e+05,2.562400000000000000e+04,3.294500000000000000e+04
